Fichier Excel: Corrigé EXERCICE MASSE SALARIALE.xlsx
Feuilles: ['Sujet', 'Corrigé']

=== Feuille: Sujet ===
Analyse des effectifs et de la masse salariale (hors cotisations salariales) |  |  | 
Voici les données de la société CALIXO |  |  | 
Tableau 1- Masse salariale |  |  | 
 | Non-cadres | Cadres | Total
Masse Salariale N-1 | 2000000 | 300000 | 2300000
Masse Salariale N | 2200000 | 280000 | 2480000
Tableau 2- Evolution des effectifs |  |  | 
 | Non-cadres | Cadres | Total
Effectif moyen N-1 | 50 | 5 | 55
Effectif moyen N | 60 | 4 | 64
Questions : |  |  | 
1) Calculez l'évolution de la masse salariale en euros (1,5 points) |  |  | 
 | Non-cadres | Cadres | Total
Masse Salariale N-1 |  |  | 
Masse Salariale N |  |  | 
Variation N - N-1 |  |  | 
% Variation |  |  | 
2) Calculez l'évolution des effectifs (1,5 points) |  |  | 
 | Non-cadres | Cadres | Total
Effectif moyen N-1 |  |  | 
Effectif moyen N |  |  | 
Variation en nombre entre N et N-1 |  |  | 
% Variation des effectifs entre N et N-1 |  |  | 
3) Calculez la rémunération moyenne annuelle par personne et son évolution (1 point) |  |  | 
 | Non-cadres | Cadres | Total
Rémunération moyenne N-1 = masse salariale / effectif moyen |  |  | 
Rémunération moyenne N |  |  | 
Variation de la rémunération moyenne en euros entre N et N-1 |  |  | 
% Variation de la rémunération moyenne en N et N-1 |  |  | 
4) Commentez cette évolution de la rémunération moyenne pour la population cadre, non cadre et le total. |  |  | 
Comment pouvez-vous l'expliquer ? (1 point) |  |  | 

=== Feuille: Corrigé ===
Analyse des effectifs et de la masse salariale (hors cotisations salariales) |  |  | 
Voici les données de la société CALIXO |  |  | 
Tableau 1- Masse salariale |  |  | 
 | Non-cadres | Cadres | Total
Masse Salariale N-1 | 2000000 | 300000 | 2300000
Masse Salariale N | 2200000 | 280000 | 2480000
Tableau 2- Evolution des effectifs |  |  | 
 | Non-cadres | Cadres | Total
Effectif moyen N-1 | 50 | 5 | 55
Effectif moyen N | 60 | 4 | 64
Questions : |  |  | 
1) Calculez l'évolution de la masse salariale en euros (1,5 points) |  |  | 
 | Non-cadres | Cadres | Total
Masse Salariale N-1 | 2000000 | 300000 | 2300000
Masse Salariale N | 2200000 | 280000 | 2480000
Variation N - N-1 | 200000 | -20000 | 180000
% Variation = variation / masse salariale N-1 | 0.1 | -0.06666666666666667 | 0.0782608695652174
2) Calculez l'évolution des effectifs (1,5 points) |  |  | 
 | Non-cadres | Cadres | Total
Effectif moyen N-1 | 50 | 5 | 55
Effectif moyen N | 60 | 4 | 64
Variation en nombre entre N et N-1 | 10 | -1 | 9
% Variation des effectifs entre N et N-1 = variation / effectif N-1 | 0.2 | -0.2 | 0.16363636363636364
3) Calculez la rémunération moyenne annuelle par personne et son évolution (1 point) |  |  | 
 | Non-cadres | Cadres | Total
Rémunération moyenne N-1 = masse salariale / effectif moyen | 40000 | 60000 | 41818.181818181816
Rémunération moyenne N | 36666.666666666664 | 70000 | 38750
Variation de la rémunération moyenne en euros entre N et N-1 | -3333.3333333333358 | 10000 | -3068.181818181816
% Variation de la rémunération moyenne en N et N-1 = variation / rémunération moyenne N-1 | -0.0833333333333334 | 0.16666666666666666 | -0.07336956521739126
4) Commentez cette évolution de la rémunération moyenne pour la population cadre, non cadre et le total. |  |  | 
Comment pouvez-vous l'expliquer ? (1 point) |  |  | 
La rémunération moyenne de la population non cadre diminue de 3 333,33 euros par an soit 8,33%. Dans le même temps, cette population a |  |  | 
gagné 10 personnes. On peut penser que les 10 personnes en question ont un salaire moins élevé (moins  |  |  | 
d'expérience ou postes moins qualifiés).  |  |  | 
La rémunération moyenne de la population cadre augmente de 10 000€ soit 16,67%. Dans le même temps, cette population a |  |  | 
diminué d'une personne. On peut penser que cette personne ayant quitté l'entreprise était rémunérée en dessous de la moyenne des autres cadres.   |  |  | 
On peut aussi penser que les résultats de l'entreprise ont été bons et que des bonus ont été versés aux cadres au titre de la rémunération variable. |  |  | 
Au global, le salaire moyen diminue de 3 068,18 euros, soit -7,34%.  |  |  | 
Le départ d'un cadre et le versement des bonus pèse moins que la baisse moyenne de rémunération des non cadres. |  |  | 

